entry_number,pmid,title,details,author,url
8890,32215577,Outcomes of Observation vs Stereotactic Ablative Radiation for Oligometastatic Prostate Cancer: The ORIOLE Phase 2 Randomized Clinical Trial,JAMA Oncol. 2020 May 1;6(5):650-659. doi: 10.1001/jamaoncol.2020.0147.,Phillips R,https://www.ncbi.nlm.nih.gov/pubmed/32215577
8891,32086498,Considering the role of radical prostatectomy in 21st century prostate cancer care,Nat Rev Urol. 2020 Mar;17(3):177-188. doi: 10.1038/s41585-020-0287-y. Epub 2020 Feb 21.,Costello AJ,https://www.ncbi.nlm.nih.gov/pubmed/32086498
8892,32130814,"MRI-Targeted, Systematic, and Combined Biopsy for Prostate Cancer Diagnosis",N Engl J Med. 2020 Mar 5;382(10):917-928. doi: 10.1056/NEJMoa1910038.,Ahdoot M,https://www.ncbi.nlm.nih.gov/pubmed/32130814
8894,31727300,HDR Prostate Brachytherapy,Semin Radiat Oncol. 2020 Jan;30(1):49-60. doi: 10.1016/j.semradonc.2019.08.003.,Crook J,https://www.ncbi.nlm.nih.gov/pubmed/31727300
8896,32409202,Testosterone replacement therapy (TRT) and prostate cancer: An updated systematic review with a focus on previous or active localized prostate cancer,Urol Oncol. 2020 Aug;38(8):661-670. doi: 10.1016/j.urolonc.2020.04.008. Epub 2020 May 11.,Lenfant L,https://www.ncbi.nlm.nih.gov/pubmed/32409202
8897,31935027,"Patient-Reported Outcomes Through 5 Years for Active Surveillance, Surgery, Brachytherapy, or External Beam Radiation With or Without Androgen Deprivation Therapy for Localized Prostate Cancer",JAMA. 2020 Jan 14;323(2):149-163. doi: 10.1001/jama.2019.20675.,Hoffman KE,https://www.ncbi.nlm.nih.gov/pubmed/31935027
8898,31739952,Radiation Therapy for Prostate Cancer,Hematol Oncol Clin North Am. 2020 Feb;34(1):45-69. doi: 10.1016/j.hoc.2019.08.017. Epub 2019 Oct 28.,Kamran SC,https://www.ncbi.nlm.nih.gov/pubmed/31739952
8900,32005113,Does urethral length affect continence outcomes following robot assisted laparoscopic radical prostatectomy (RALP)?,BMC Urol. 2020 Jan 31;20(1):8. doi: 10.1186/s12894-020-0578-x.,Lin D,https://www.ncbi.nlm.nih.gov/pubmed/32005113
8901,32275187,High-intensity focused ultrasound for prostate cancer,Expert Rev Med Devices. 2020 May;17(5):427-433. doi: 10.1080/17434440.2020.1755258.,Napoli A,https://www.ncbi.nlm.nih.gov/pubmed/32275187
8903,31733323,Stereotactic Body Radiation Therapy to the Prostate Bed: Results of a Phase 1 Dose-Escalation Trial,Int J Radiat Oncol Biol Phys. 2020 Mar 1;106(3):537-545. doi: 10.1016/j.ijrobp.2019.11.005. Epub 2019 Nov 13.,Sampath S,https://www.ncbi.nlm.nih.gov/pubmed/31733323
8904,32035581,Salvage Radiotherapy for Prostate Cancer,Clin Oncol (R Coll Radiol). 2020 Mar;32(3):156-162. doi: 10.1016/j.clon.2020.01.003.,Rans K,https://www.ncbi.nlm.nih.gov/pubmed/32035581
