entry_number,pmid,title,details,author,url,abstract
21048,33542230,Prostate cancer,Nat Rev Dis Primers. 2021 Feb 4;7(1):9. doi: 10.1038/s41572-020-00243-0.,Rebello RJ,https://www.ncbi.nlm.nih.gov/pubmed/33542230,"Prostate cancer is a complex disease that affects millions of men globally, predominantly in high human development index regions. Patients with localized disease at a low to intermediate risk of recurrence generally have a favourable outcome of 99% overall survival for 10 years if the disease is detected and treated at an early stage. Key genetic alterations include fusions of TMPRSS2 with ETS family genes, amplification of the MYC oncogene, deletion and/or mutation of PTEN and TP53 and, in advanced disease, amplification and/or mutation of the androgen receptor (AR). Prostate cancer is usually diagnosed by prostate biopsy prompted by a blood test to measure prostate-specific antigen levels and/or digital rectal examination. Treatment for localized disease includes active surveillance, radical prostatectomy or ablative radiotherapy as curative approaches. Men whose disease relapses after prostatectomy are treated with salvage radiotherapy and/or androgen deprivation therapy (ADT) for local relapse, or with ADT combined with chemotherapy or novel androgen signalling-targeted agents for systemic relapse. Advanced prostate cancer often progresses despite androgen ablation and is then considered castration-resistant and incurable. Current treatment options include AR-targeted agents, chemotherapy, radionuclides and the poly(ADP-ribose) inhibitor olaparib. Current research aims to improve prostate cancer detection, management and outcomes, including understanding the fundamental biology at all stages of the disease."
21050,33497252,Prostate-Only Versus Whole-Pelvic Radiation Therapy in High-Risk and Very High-Risk Prostate Cancer (POP-RT): Outcomes From Phase III Randomized Controlled Trial,J Clin Oncol. 2021 Apr 10;39(11):1234-1242. doi: 10.1200/JCO.20.03282. Epub 2021 Jan 26.,Murthy V,https://www.ncbi.nlm.nih.gov/pubmed/33497252,"PURPOSE: We report the clinical outcomes of a randomized trial comparing prophylactic whole-pelvic nodal radiotherapy to prostate-only radiotherapy (PORT) in high-risk prostate cancer. METHODS: This phase III, single center, randomized controlled trial enrolled eligible patients undergoing radical radiotherapy for node-negative prostate adenocarcinoma, with estimated nodal risk ≥ 20%. Randomization was 1:1 to PORT (68 Gy/25# to prostate) or whole-pelvic radiotherapy (WPRT, 68 Gy/25# to prostate, 50 Gy/25# to pelvic nodes, including common iliac) using computerized stratified block randomization, stratified by Gleason score, type of androgen deprivation, prostate-specific antigen at diagnosis, and prior transurethral resection of the prostate. All patients received image-guided, intensity-modulated radiotherapy and minimum 2 years of androgen deprivation therapy. The primary end point was 5-year biochemical failure-free survival (BFFS), and secondary end points were disease-free survival (DFS) and overall survival (OS). RESULTS: From November 2011 to August 2017, a total of 224 patients were randomly assigned (PORT = 114, WPRT = 110). At a median follow-up of 68 months, 36 biochemical failures (PORT = 25, WPRT = 7) and 24 deaths (PORT = 13, WPRT = 11) were recorded. Five-year BFFS was 95.0% (95% CI, 88.4 to 97.9) with WPRT versus 81.2% (95% CI, 71.6 to 87.8) with PORT, with an unadjusted hazard ratio (HR) of 0.23 (95% CI, 0.10 to 0.52; <i>P</i> < .0001). WPRT also showed higher 5-year DFS (89.5% <i>v</i> 77.2%; HR, 0.40; 95% CI, 0.22 to 0.73; <i>P</i> = .002), but 5-year OS did not appear to differ (92.5% <i>v</i> 90.8%; HR, 0.92; 95% CI, 0.41 to 2.05; <i>P</i> = .83). Distant metastasis-free survival was also higher with WPRT (95.9% <i>v</i> 89.2%; HR, 0.35; 95% CI, 0.15 to 0.82; <i>P</i> = .01). Benefit in BFFS and DFS was maintained across prognostic subgroups. CONCLUSION: Prophylactic pelvic irradiation for high-risk, locally advanced prostate cancer improved BFFS and DFS as compared with PORT, but OS did not appear to differ."
21051,33750437,Radiotherapy of oligometastatic prostate cancer: a systematic review,Radiat Oncol. 2021 Mar 9;16(1):50. doi: 10.1186/s13014-021-01776-8.,Rogowski P,https://www.ncbi.nlm.nih.gov/pubmed/33750437,"BACKGROUND: Due to improved imaging sensitivity, the term ""oligometastatic"" prostate cancer disease is diagnosed more often, leading to an increasing interest in metastasis-directed therapy (MDT). There are two types of radiation based MDT applied when treating oligometastatic disease: (1) stereotactic body radiation therapy (SBRT) generally used for bone metastases; or (2) SBRT for isolated nodal oligometastases combined with prophylactic elective nodal radiotherapy. This review aims to summarize current evidence data, which may shed light on the optimal management of this heterogeneous group of patients. METHODS: A systematic review of the Medline database through PubMed was performed according to PRISMA guidelines. All relevant studies published up to November 2020 were identified and screened. Fifty-six titles were included. Besides outcome parameters, different prognostic and predictive factors were assessed, including site of metastases, time between primary treatment and MDT, use of systemic therapies, hormone sensitivity, as well as pattern of recurrence. FINDINGS: Evidence consists largely of retrospective case series and no consistent precise definition of oligometastasis exists, however, most investigators seem to acknowledge the need to distinguish between patients presenting with what is frequently called ""synchronous"" versus ""metachronous"" oligometastatic disease. Available data on radiotherapy as MDT demonstrate high local control rates and a small but relevant proportion of patients without progressive disease after 2 years. This holds true for both hormone sensitive and castration resistant prostate cancer diseases. The use of <sup>68</sup>Ga-PSMA PET/CT for staging increased dramatically. Radiation doses and field sizes varied considerably among the studies. The search for relevant prognostic and predictive factors is ongoing. CONCLUSIONS: To our best knowledge this review on oligometastatic prostate cancer included the largest number of original articles. It demonstrates the therapeutic potential and challenges of MDT for oligometastatic prostate cancer. Prospective studies are under way and will provide further high-level evidence."
21052,33833445,Preoperative exercise interventions to optimize continence outcomes following radical prostatectomy,Nat Rev Urol. 2021 May;18(5):259-281. doi: 10.1038/s41585-021-00445-5. Epub 2021 Apr 8.,Mungovan SF,https://www.ncbi.nlm.nih.gov/pubmed/33833445,"Urinary incontinence is a common and predictable consequence among men with localized prostate cancer who have undergone radical prostatectomy. Despite advances in the surgical technique, urinary continence recovery time remains variable. A range of surgical and patient-related risk factors contributing to urinary incontinence after radical prostatectomy have been described, including age, BMI, membranous urethral length and urethral sphincter insufficiency. Physical activity interventions incorporating aerobic exercise, resistance training and pelvic floor muscle training programmes can positively influence the return to continence in men after radical prostatectomy. Traditional approaches to improving urinary continence after radical prostatectomy have typically focused on interventions delivered during the postoperative period (rehabilitation). However, the limited efficacy of these postoperative approaches has led to a shift from the traditional reactive model of care to more comprehensive interventions incorporating exercise-based programmes that begin in the preoperative period (prehabilitation) and continue after surgery. Comprehensive prehabilitation interventions include appropriately prescribed aerobic exercise, resistance training and specific pelvic floor muscle instruction and exercise training programmes. Transperineal ultrasonography is a non-invasive and validated method for the visualization of the action of the pelvic floor musculature, providing real-time visual biofeedback to the patient during specific pelvic floor muscle instruction and training. Importantly, the waiting time before surgery can be used for the delivery of comprehensive prehabilitation exercise-based interventions to increase patient preparedness in the lead-up to surgery and optimize continence and health-related quality-of-life outcomes following radical prostatectomy."
21053,33582104,Prostate Magnetic Resonance Imaging for Local Recurrence Reporting (PI-RR): International Consensus -based Guidelines on Multiparametric Magnetic Resonance Imaging for Prostate Cancer Recurrence after Radiation Therapy and Radical Prostatectomy,Eur Urol Oncol. 2021 Dec;4(6):868-876. doi: 10.1016/j.euo.2021.01.003. Epub 2021 Feb 10.,Panebianco V,https://www.ncbi.nlm.nih.gov/pubmed/33582104,"BACKGROUND: Imaging techniques are used to identify local recurrence of prostate cancer (PCa) for salvage therapy and to exclude metastases that should be addressed with systemic therapy. For magnetic resonance imaging (MRI), a reduction in the variability of acquisition, interpretation, and reporting is required to detect local PCa recurrence in men with biochemical relapse after local treatment with curative intent. OBJECTIVE: To propose a standardised method for image acquisition and assessment of PCa local recurrence using MRI after radiation therapy (RP) and radical prostatectomy (RT). EVIDENCE ACQUISITION: Prostate Imaging for Recurrence Reporting (PI-RR) was formulated using the existing literature. An international panel of experts conducted a nonsystematic review of the literature. The PI-RR system was created via consensus through a combination of face-to-face and online discussions. EVIDENCE SYNTHESIS: Similar to with PI-RADS, based on the best available evidence and expert opinion, the minimum acceptable MRI parameters for detection of recurrence after radiation therapy and radical prostatectomy are set. Also, a simplified and standardised terminology and content of the reports that use five assessment categories to summarise the suspicion of local recurrence (PI-RR) are designed. PI-RR scores of 1 and 2 are assigned to lesions with a very low and low likelihood of recurrence, respectively. PI-RR 3 is assigned if the presence of recurrence is uncertain. PI-RR 4 and 5 are assigned for a high and very high likelihood of recurrence, respectively. PI-RR is intended to be used in routine clinical practice and to facilitate data collection and outcome monitoring for research. CONCLUSIONS: This paper provides a structured reporting system (PI-RR) for MRI evaluation of local recurrence of PCa after RT and RP. PATIENT SUMMARY: A new method called PI-RR was developed to promote standardisation and reduce variations in the acquisition, interpretation, and reporting of magnetic resonance imaging for evaluating local recurrence of prostate cancer and guiding therapy."
21054,33471548,Focal Boost to the Intraprostatic Tumor in External Beam Radiotherapy for Patients With Localized Prostate Cancer: Results From the FLAME Randomized Phase III Trial,J Clin Oncol. 2021 Mar 1;39(7):787-796. doi: 10.1200/JCO.20.02873. Epub 2021 Jan 20.,Kerkmeijer LGW,https://www.ncbi.nlm.nih.gov/pubmed/33471548,"PURPOSE: This study investigates whether focal boosting of the macroscopic visible tumor with external beam radiotherapy increases biochemical disease-free survival (bDFS) in patients with localized prostate cancer. PATIENTS AND METHODS: In the phase III, multicenter, randomized controlled Focal Lesion Ablative Microboost in Prostate Cancer trial, 571 patients with intermediate- and high-risk prostate cancer were enrolled between 2009 and 2015. Patients assigned to standard treatment received 77 Gy (fractions of 2.2 Gy) to the entire prostate. The focal boost arm received an additional simultaneous integrated focal boost up to 95 Gy (fractions up to 2.7 Gy) to the intraprostatic lesion visible on multiparametric magnetic resonance imaging. Organ at risk constraints were prioritized over the focal boost dose. The primary end point was 5-year bDFS. Secondary end points were disease-free survival (DFS), distant metastases-free survival, prostate cancer-specific survival, overall survival, toxicity, and health-related quality of life. RESULTS: Median follow-up was 72 months. Biochemical DFS was significantly higher in the focal boost compared with the standard arm (hazard ratio 0.45, 95% CI, 0.28 to 0.71, <i>P</i> < .001). At 5-year follow-up bDFS was 92% and 85%, respectively. We did not observe differences in prostate cancer-specific survival (<i>P</i> = .49) and overall survival (<i>P</i> = .50). The cumulative incidence of late genitourinary and GI toxicity grade ≥ 2 was 23% and 12% in the standard arm versus 28% and 13% in the focal boost arm, respectively. Both for late toxicity as health-related quality of life, differences were small and not statistically significant. CONCLUSION: The addition of a focal boost to the intraprostatic lesion improved bDFS for patients with localized intermediate- and high-risk prostate cancer without impacting toxicity and quality of life. The Focal Lesion Ablative Microboost in Prostate Cancer study shows that a high focal boost strategy to improve tumor control while respecting organ at risk dose constraints is effective and safe."
21056,33865797,Limited versus Extended Pelvic Lymph Node Dissection for Prostate Cancer: A Randomized Clinical Trial,Eur Urol Oncol. 2021 Aug;4(4):532-539. doi: 10.1016/j.euo.2021.03.006. Epub 2021 Apr 15.,Touijer KA,https://www.ncbi.nlm.nih.gov/pubmed/33865797,"BACKGROUND: Pelvic lymph node dissection (PLND) is the most reliable procedure for lymph node staging. However, the therapeutic benefit remains unproven; although most radical prostatectomies at academic centers are accompanied by PLND, there is no consensus regarding the optimal anatomical extent of PLND. OBJECTIVE: To evaluate whether extended PLND results in a lower biochemical recurrence rate. DESIGN, SETTING, AND PARTICIPANTS: We conducted a single-center randomized trial. Patients, enrolled between October 2011 and March 2017, were scheduled to undergo radical prostatectomy and PLND. Patients were assigned to limited or extended PLND by cluster randomization. Specifically, surgeons were randomized to perform limited or extended PLND for 3-mo periods. INTERVENTION: Randomization to limited (external iliac nodes) or extended (external iliac, obturator fossa and hypogastric nodes) PLND. OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: The primary endpoint was the rate of biochemical recurrence. RESULTS AND LIMITATIONS: Of 1440 patients included in the final analysis, 700 were randomized to limited PLND and 740 to extended PLND. The median number of nodes retrieved was 12 (interquartile range [IQR] 8-17) for limited PLND and 14 (IQR 10-20) extended PLND; the corresponding rate of positive nodes was 12% and 14% (difference -1.9%, 95% confidence interval [CI] -5.4% to 1.5%; p = 0.3). With median follow-up of 3.1 yr, there was no significant difference in the rate of biochemical recurrence between the groups (hazard ratio 1.04, 95% CI 0.93-1.15; p = 0.5). Rates for grade 2 and 3 complications were similar at 7.3% for limited versus 6.4% for extended PLND; there were no grade 4 or 5 complications. CONCLUSIONS: Extended PLND did not improve freedom from biochemical recurrence over limited PLND for men with clinically localized prostate cancer. However, there were smaller than expected differences in nodal count and the rate of positive nodes between the two templates. A randomized trial comparing PLND to no node dissection is warranted. PATIENT SUMMARY: In this clinical trial we did not find a difference in the rate of biochemical recurrence of prostate cancer between limited and extended dissection of lymph nodes in the pelvis. This study is registered on ClinicalTrials.gov as NCT01407263."
21057,33359269,Prostate high dose-rate brachytherapy as monotherapy for prostate cancer: Late toxicity and patient reported outcomes from a randomized phase II clinical trial,Radiother Oncol. 2021 Mar;156:160-165. doi: 10.1016/j.radonc.2020.12.021. Epub 2021 Jan 4.,Corkum M,https://www.ncbi.nlm.nih.gov/pubmed/33359269,"BACKGROUND AND PURPOSE: Long-term toxicity of high dose-rate brachytherapy as monotherapy for prostate cancer is not well defined. We report late toxicity and health related quality of life (HRQOL) changes from a randomized phase II clinical trial of two different fractionation schemes. MATERIALS AND METHODS: Eligible patients had NCCN low or intermediate risk prostate cancer. 170 patients were randomized to receive either a single 19 Gy or two-fractions of 13.5 Gy one week apart. Toxicity was measured using Common Terminology for Adverse Events (CTCAE) v4.0, and HRQOL was measured using the Expanded Prostate Index Composite (EPIC). RESULTS: Median follow-up was 63 months. The 5-year cumulative incidence of Grade 2 or higher genitourinary (GU) and gastrointestinal (GI) toxicity was 62% and 12% in the single-fraction arm, and 47% and 9% in the two-fraction arm, respectively. Grade 3 GU toxicity was only seen in the single fraction arm with a cumulative incidence of 2%. The 5-year prevalence of Grade 2 GU toxicity was 29% and 21%, in the single- and two-fraction arms, respectively, with Grade 2 GI toxicity of 1% and 2%. Beyond the first year, no significant differences in mean urinary HRQOL were seen compared to baseline in the two-fraction arm, in contrast to the single-fraction arm where a decline in urinary HRQOL was seen at 4 and 5 years. Sexual HRQOL was significantly reduced in both treatment arms at all timepoints, with no changes in the bowel domain. CONCLUSIONS: HDR monotherapy is well tolerated with minimal impact on HRQOL."
21058,33764234,Laparoscopic surgery experience does not influence oncological and functional results of robotic-assisted laparoscopic prostatectomy,Urologia. 2022 May;89(2):240-243. doi: 10.1177/03915603211004781. Epub 2021 Mar 25.,Cetin T,https://www.ncbi.nlm.nih.gov/pubmed/33764234,"INTRODUCTION: Surgery is one of the treatment alternatives for prostate cancer, and robotic-assisted laparoscopic prostatectomy (RALP) has become the new trend in the past decade. There is no consensus yet for surgeons who will perform RALP whether they need to be trained or experienced in laparoscopy. In this study, it was aimed to investigate the effectiveness of the surgeon's laparoscopy experience in the perioperative and postoperative results of RALP patients. MATERIAL AND METHOD: Patients who underwent RALP were retrospectively screened. The first 20 cases done by surgeons in both groups and 40 cases in total were included in the study. Surgeons with laparoscopy training were designated as group 1, and surgeons without laparoscopy training were designated as group 2. Patient's age, preoperative prostate-specific antigen (PSA) value, prostate biopsy pathology, radical prostatectomy pathology, surgical margin positivity, extracapsular extension, and seminal vesicle invasion status, blood transfusion rate, operation time, length of hospital stay, and 1-year follow-up potency and urinary incontinence rates were compared. RESULTS: There was no difference between the two groups in terms of age, preoperative PSA, preoperative biopsy results, blood transfusion rates, operation times, and the length of hospital stay of the patients. When the postoperative oncological and functional results of the patients were examined, there was no difference between the two groups in the prostatectomy pathology (<i>p</i> = 0.895), extracapsular extension (pT3a) (<i>p</i> = 0.519), positive surgical margin (pSM) (<i>p</i> = 0.723), and seminal vesicle invasion (pT3b) (<i>p</i> = 0.756). Potency and urinary incontinence rates were similar in both groups at the end of one year follow-up (<i>p</i> = 0.327, 0.500 respectively). CONCLUSIONS: Based on our study, it is clearly seen that regardless of the surgeon's experience of laparoscopy, it can be safely preferred when looking at the oncological and functional results of RALP."
21059,33570548,Validation of a 22-Gene Genomic Classifier in Patients With Recurrent Prostate Cancer: An Ancillary Study of the NRG/RTOG 9601 Randomized Clinical Trial,JAMA Oncol. 2021 Apr 1;7(4):544-552. doi: 10.1001/jamaoncol.2020.7671.,Feng FY,https://www.ncbi.nlm.nih.gov/pubmed/33570548,"IMPORTANCE: Decipher (Decipher Biosciences Inc) is a genomic classifier (GC) developed to estimate the risk of distant metastasis (DM) after radical prostatectomy (RP) in patients with prostate cancer. OBJECTIVE: To validate the GC in the context of a randomized phase 3 trial. DESIGN, SETTING, AND PARTICIPANTS: This ancillary study used RP specimens from the phase 3 placebo-controlled NRG/RTOG 9601 randomized clinical trial conducted from March 1998 to March 2003. The specimens were centrally reviewed, and RNA was extracted from the highest-grade tumor available in 2019 with a median follow-up of 13 years. Clinical-grade whole transcriptomes from samples passing quality control were assigned GC scores (scale, 0-1). A National Clinical Trials Network-approved prespecified statistical plan included the primary objective of validating the independent prognostic ability of GC for DM, with secondary end points of prostate cancer-specific mortality (PCSM) and overall survival (OS). Data were analyzed from September 2019 to December 2019. INTERVENTION: Salvage radiotherapy (sRT) with or without 2 years of bicalutamide. MAIN OUTCOMES AND MEASURES: The preplanned primary end point of this study was the independent association of the GC with the development of DM. RESULTS: In this ancillary study of specimens from a phase 3 randomized clinical trial, GC scores were generated from 486 of 760 randomized patients with a median follow-up of 13 years; samples from a total of 352 men (median [interquartile range] age, 64.5 (60-70) years; 314 White [89.2%] participants) passed microarray quality control and comprised the final cohort for analysis. On multivariable analysis, the GC (continuous variable, per 0.1 unit) was independently associated with DM (hazard ratio [HR], 1.17; 95% CI, 1.05-1.32; P = .006), PCSM (HR, 1.39; 95% CI, 1.20-1.63; P < .001), and OS (HR, 1.17; 95% CI, 1.06-1.29; P = .002) after adjusting for age, race/ethnicity, Gleason score, T stage, margin status, entry prostate-specific antigen, and treatment arm. Although the original planned analysis was not powered to detect a treatment effect interaction by GC score, the estimated absolute effect of bicalutamide on 12-year OS was less when comparing patients with lower vs higher GC scores (2.4% vs 8.9%), which was further demonstrated in men receiving early sRT at a prostate-specific antigen level lower than 0.7 ng/mL (-7.8% vs 4.6%). CONCLUSIONS AND RELEVANCE: This ancillary validation study of the Decipher GC in a randomized trial cohort demonstrated association of the GC with DM, PCSM, and OS independent of standard clinicopathologic variables. These results suggest that not all men with biochemically recurrent prostate cancer after surgery benefit equally from the addition of hormone therapy to sRT. TRIAL REGISTRATION: ClinicalTrials.gov identifier: NCT00002874."
