Stage,Model Name,Family,Parameters,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,AUROC,Average Precision (PR-AUC),Training Time (s),Inference Latency (ms/sample)
Stage 1 (Classical),Dummy (Most Frequent),Baseline,Non-Parametric / Sparse Linear,0.6712,0.0,0.0,1.0,0.0,0.5,0.3288,0.226,0.56
Stage 1 (Classical),Logistic Regression,Linear,Non-Parametric / Sparse Linear,0.6712,0.0,0.0,1.0,0.0,0.8461,0.686,39.86,0.46
Stage 1 (Classical),Linear SVM (Calibrated),Support Vector Machine,~Trees,0.7671,0.6296,0.7083,0.7959,0.6667,0.8435,0.6836,17.952,0.88
Stage 1 (Classical),Multinomial Naive Bayes,Probabilistic,Non-Parametric / Sparse Linear,0.8219,0.7391,0.7083,0.8776,0.7234,0.8776,0.7871,5.306,0.6
Stage 1 (Classical),Complement Naive Bayes,Probabilistic,Non-Parametric / Sparse Linear,0.8082,0.6923,0.75,0.8367,0.72,0.8776,0.7871,10.253,0.61
Stage 1 (Classical),SGD Classifier (Modified Huber),Linear,Non-Parametric / Sparse Linear,0.7397,0.5806,0.75,0.7347,0.6545,0.8503,0.7509,7.612,0.49
Stage 1 (Classical),Random Forest,Tree Ensemble,~Trees,0.7671,0.7333,0.4583,0.9184,0.5641,0.8138,0.6763,26.731,1.95
Stage 1 (Classical),Logistic Regression (Char TF-IDF),Linear,Non-Parametric / Sparse Linear,0.8082,0.6667,0.8333,0.7959,0.7407,0.8563,0.6829,0.0,0.0
Stage 2 (Neural),TF-IDF MLP,Feedforward Neural Network,"785,409",0.3288,0.3288,1.0,0.0,0.4948,0.8563,0.6991,2.146,0.07
Stage 2 (Neural),Vanilla RNN,Recurrent Neural Network,"375,681",0.5342,0.3214,0.375,0.6122,0.3462,0.4813,0.3507,2.029,0.16
Stage 2 (Neural),Bidirectional LSTM,Recurrent Neural Network,"1,010,305",0.7397,0.6,0.625,0.7959,0.6122,0.8189,0.6575,11.853,1.01
Stage 2 (Neural),Attention-Based BiLSTM,Recurrent Neural Network (Attention),"631,553",0.7808,0.7222,0.5417,0.898,0.619,0.8401,0.6984,5.588,0.63
Stage 2 (Neural),Biomedical Transformer (PubMedBERT),Biomedical Transformer,"109,483,009",0.6849,0.5122,0.875,0.5918,0.6462,0.8452,0.7199,676.196,68.87
