model,threshold,accuracy,precision,recall,sensitivity,specificity,f1_score,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives,articles_flagged_for_review,review_workload_pct,workload_reduction_pct,total_positives,total_negatives,total_samples,model_key,target_sensitivity,status,model_name
Logistic Regression,0.34,0.589041095890411,0.4423076923076923,0.9583333333333334,0.9583333333333334,0.40816326530612246,0.6052631578947368,0.5918367346938775,0.041666666666666664,23,29,20,1,52,71.23287671232876,28.767123287671232,24,49,73,logistic_regression,0.9,ACHIEVED,Logistic Regression
Logistic Regression,0.34,0.589041095890411,0.4423076923076923,0.9583333333333334,0.9583333333333334,0.40816326530612246,0.6052631578947368,0.5918367346938775,0.041666666666666664,23,29,20,1,52,71.23287671232876,28.767123287671232,24,49,73,logistic_regression,0.95,ACHIEVED,Logistic Regression
Logistic Regression,0.32,0.3424657534246575,0.3333333333333333,1.0,1.0,0.02040816326530612,0.5,0.9795918367346939,0.0,24,48,1,0,72,98.63013698630137,1.36986301369863,24,49,73,logistic_regression,0.99,ACHIEVED,Logistic Regression
Logistic Regression,0.32,0.3424657534246575,0.3333333333333333,1.0,1.0,0.02040816326530612,0.5,0.9795918367346939,0.0,24,48,1,0,72,98.63013698630137,1.36986301369863,24,49,73,logistic_regression,1.0,ACHIEVED,Logistic Regression
Linear SVM (Calibrated),0.24,0.7534246575342466,0.5789473684210527,0.9166666666666666,0.9166666666666666,0.673469387755102,0.7096774193548387,0.32653061224489793,0.08333333333333333,22,16,33,2,38,52.054794520547944,47.94520547945205,24,49,73,linear_svc,0.9,ACHIEVED,Linear SVM (Calibrated)
Linear SVM (Calibrated),0.16,0.6438356164383562,0.4791666666666667,0.9583333333333334,0.9583333333333334,0.4897959183673469,0.6388888888888888,0.5102040816326531,0.041666666666666664,23,25,24,1,48,65.75342465753424,34.24657534246575,24,49,73,linear_svc,0.95,ACHIEVED,Linear SVM (Calibrated)
Linear SVM (Calibrated),0.06,0.4931506849315068,0.39344262295081966,1.0,1.0,0.24489795918367346,0.5647058823529412,0.7551020408163265,0.0,24,37,12,0,61,83.56164383561644,16.43835616438356,24,49,73,linear_svc,0.99,ACHIEVED,Linear SVM (Calibrated)
Linear SVM (Calibrated),0.06,0.4931506849315068,0.39344262295081966,1.0,1.0,0.24489795918367346,0.5647058823529412,0.7551020408163265,0.0,24,37,12,0,61,83.56164383561644,16.43835616438356,24,49,73,linear_svc,1.0,ACHIEVED,Linear SVM (Calibrated)
Multinomial Naive Bayes,0.16,0.7808219178082192,0.6111111111111112,0.9166666666666666,0.9166666666666666,0.7142857142857143,0.7333333333333333,0.2857142857142857,0.08333333333333333,22,14,35,2,36,49.31506849315068,50.68493150684932,24,49,73,multinomial_nb,0.9,ACHIEVED,Multinomial Naive Bayes
Multinomial Naive Bayes,0.02,0.5205479452054794,0.40350877192982454,0.9583333333333334,0.9583333333333334,0.30612244897959184,0.5679012345679012,0.6938775510204082,0.041666666666666664,23,34,15,1,57,78.08219178082192,21.91780821917808,24,49,73,multinomial_nb,0.95,ACHIEVED,Multinomial Naive Bayes
