model_name,target_sensitivity,val_selected_threshold,val_sensitivity,val_specificity,val_workload_pct,test_achieved_sensitivity,test_achieved_specificity,test_achieved_precision,test_achieved_f1,test_flagged_articles,test_workload_pct,test_workload_reduction_pct,test_true_positives,test_false_positives,test_true_negatives,test_false_negatives,val_status
TF-IDF MLP,0.9,0.56,0.9474,0.4872,65.52,0.9583,0.449,0.46,0.6216,50 / 73,68.49,31.51,23,27,22,1,ACHIEVED
TF-IDF MLP,0.95,0.55,1.0,0.1538,89.66,1.0,0.3061,0.4138,0.5854,58 / 73,79.45,20.55,24,34,15,0,ACHIEVED
TF-IDF MLP,0.99,0.55,1.0,0.1538,89.66,1.0,0.3061,0.4138,0.5854,58 / 73,79.45,20.55,24,34,15,0,ACHIEVED
TF-IDF MLP,1.0,0.55,1.0,0.1538,89.66,1.0,0.3061,0.4138,0.5854,58 / 73,79.45,20.55,24,34,15,0,ACHIEVED
Vanilla RNN,0.9,0.27,0.9474,0.1026,91.38,0.8333,0.1429,0.3226,0.4651,62 / 73,84.93,15.07,20,42,7,4,ACHIEVED
Vanilla RNN,0.95,0.21,1.0,0.0256,98.28,0.9583,0.0408,0.3286,0.4894,70 / 73,95.89,4.11,23,47,2,1,ACHIEVED
Vanilla RNN,0.99,0.21,1.0,0.0256,98.28,0.9583,0.0408,0.3286,0.4894,70 / 73,95.89,4.11,23,47,2,1,ACHIEVED
Vanilla RNN,1.0,0.21,1.0,0.0256,98.28,0.9583,0.0408,0.3286,0.4894,70 / 73,95.89,4.11,23,47,2,1,ACHIEVED
Bidirectional LSTM,0.9,0.21,0.9474,0.4615,67.24,0.9167,0.5714,0.5116,0.6567,43 / 73,58.9,41.1,22,21,28,2,ACHIEVED
Bidirectional LSTM,0.95,0.13,1.0,0.1538,89.66,1.0,0.102,0.3529,0.5217,68 / 73,93.15,6.85,24,44,5,0,ACHIEVED
Bidirectional LSTM,0.99,0.13,1.0,0.1538,89.66,1.0,0.102,0.3529,0.5217,68 / 73,93.15,6.85,24,44,5,0,ACHIEVED
Bidirectional LSTM,1.0,0.13,1.0,0.1538,89.66,1.0,0.102,0.3529,0.5217,68 / 73,93.15,6.85,24,44,5,0,ACHIEVED
Attention-Based BiLSTM,0.9,0.01,0.9474,0.3846,72.41,0.9167,0.3469,0.4074,0.5641,54 / 73,73.97,26.03,22,32,17,2,ACHIEVED
Attention-Based BiLSTM,0.95,0.01,0.9474,0.3846,72.41,0.9167,0.3469,0.4074,0.5641,54 / 73,73.97,26.03,22,32,17,2,PARTIAL (Max: 0.947)
Attention-Based BiLSTM,0.99,0.01,0.9474,0.3846,72.41,0.9167,0.3469,0.4074,0.5641,54 / 73,73.97,26.03,22,32,17,2,PARTIAL (Max: 0.947)
Attention-Based BiLSTM,1.0,0.01,0.9474,0.3846,72.41,0.9167,0.3469,0.4074,0.5641,54 / 73,73.97,26.03,22,32,17,2,PARTIAL (Max: 0.947)
Biomedical Transformer (PubMedBERT),0.9,0.31,0.9474,0.4615,67.24,0.9583,0.3061,0.4035,0.5679,57 / 73,78.08,21.92,23,34,15,1,ACHIEVED
Biomedical Transformer (PubMedBERT),0.95,0.22,1.0,0.2821,81.03,1.0,0.2245,0.3871,0.5581,62 / 73,84.93,15.07,24,38,11,0,ACHIEVED
Biomedical Transformer (PubMedBERT),0.99,0.22,1.0,0.2821,81.03,1.0,0.2245,0.3871,0.5581,62 / 73,84.93,15.07,24,38,11,0,ACHIEVED
Biomedical Transformer (PubMedBERT),1.0,0.22,1.0,0.2821,81.03,1.0,0.2245,0.3871,0.5581,62 / 73,84.93,15.07,24,38,11,0,ACHIEVED
