epoch,train_loss,val_loss,val_ap,val_auc,val_f1,lr
1,0.924,0.9031,0.6556,0.7868,0.1905,0.001
2,0.8929,0.8502,0.6451,0.7895,0.4828,0.001
3,0.7832,0.9365,0.6412,0.8003,0.5333,0.001
4,0.544,1.1528,0.6909,0.8084,0.5517,0.001
5,0.3425,1.0828,0.7771,0.8394,0.6,0.001
6,0.2253,0.8648,0.7273,0.8489,0.7222,0.001
7,0.1901,1.2308,0.6765,0.8057,0.6667,0.001
8,0.2075,1.857,0.7576,0.8394,0.4,0.001
9,0.1889,3.0301,0.7349,0.8232,0.3333,0.0005
10,0.1358,1.4598,0.7067,0.8313,0.5714,0.0005
11,0.0731,2.0954,0.7277,0.8462,0.5185,0.0005
12,0.0477,2.1891,0.7271,0.8435,0.4615,0.0005
13,0.0363,2.3029,0.7624,0.8462,0.5185,0.00025
