epoch,train_loss,val_loss,val_ap,val_auc,val_f1,lr
1,0.9323,0.9232,0.6588,0.7746,0.0,0.001
2,0.9225,0.9188,0.7619,0.8502,0.4935,0.001
3,0.9151,0.9022,0.643,0.7976,0.4667,0.001
4,0.8748,0.9302,0.5999,0.7692,0.1,0.001
5,0.7475,0.7764,0.6742,0.8003,0.6111,0.001
6,0.5977,0.6433,0.8112,0.8543,0.7027,0.001
7,0.43,0.8635,0.7122,0.8016,0.619,0.001
8,0.4965,1.0344,0.7914,0.8475,0.5517,0.001
9,0.3082,0.8576,0.7661,0.8556,0.6471,0.001
10,0.2311,0.8852,0.7464,0.8394,0.6061,0.0005
11,0.1834,1.6983,0.7515,0.8462,0.4,0.0005
12,0.1559,1.351,0.7188,0.8408,0.5714,0.0005
13,0.078,1.3003,0.722,0.8408,0.5333,0.0005
14,0.0561,2.215,0.7152,0.8205,0.4,0.00025
