epoch,train_loss,val_loss,val_ap,val_auc,val_f1,lr
1,0.9319,0.9235,0.4224,0.5169,0.4528,0.001
2,0.8764,0.9269,0.4223,0.5115,0.3404,0.001
3,0.8142,0.9524,0.3928,0.4804,0.2857,0.001
4,0.723,0.9894,0.4228,0.4993,0.3333,0.001
5,0.6,1.2129,0.3522,0.4494,0.2778,0.001
6,0.4382,1.5592,0.3357,0.4265,0.2703,0.001
7,0.2539,2.059,0.3115,0.4521,0.2424,0.001
8,0.1349,2.5174,0.3226,0.4359,0.1667,0.0005
9,0.147,2.2909,0.3331,0.4413,0.3158,0.0005
10,0.0614,2.3015,0.3249,0.4494,0.359,0.0005
11,0.0731,2.536,0.335,0.4602,0.303,0.0005
12,0.0507,2.5049,0.3566,0.5034,0.3429,0.00025
