model_name,pipeline_type,threshold,accuracy,precision,recall_sensitivity,specificity,f1_score,auroc,pr_auc,true_positives,false_positives,true_negatives,false_negatives,flagged_count,workload_pct,workload_reduction_pct,nns,target_sensitivity,val_selected_thresh,val_achieved_sensitivity,val_achieved_specificity,val_status
Linear SVM (Title+Abstract),Standalone,0.14,0.6849,0.5111,0.9583,0.551,0.6667,0.8605,0.7134,23,22,27,1,45,61.64,38.36,1.96,0.9,0.14,0.9474,0.5385,ACHIEVED
Linear SVM (Title+Abstract),Standalone,0.11,0.6712,0.5,1.0,0.5102,0.6667,0.8605,0.7134,24,24,25,0,48,65.75,34.25,2.0,0.95,0.11,1.0,0.4615,ACHIEVED
Linear SVM (Title+Abstract),Standalone,0.11,0.6712,0.5,1.0,0.5102,0.6667,0.8605,0.7134,24,24,25,0,48,65.75,34.25,2.0,0.99,0.11,1.0,0.4615,ACHIEVED
Linear SVM (Title+Abstract),Standalone,0.11,0.6712,0.5,1.0,0.5102,0.6667,0.8605,0.7134,24,24,25,0,48,65.75,34.25,2.0,1.0,0.11,1.0,0.4615,ACHIEVED
Linear SVM (Title+Abstract),Cascaded (Pre-Filter),0.14,0.7123,0.5349,0.9583,0.5918,0.6866,0.8733,0.7261,23,20,29,1,43,58.9,41.1,1.87,0.9,0.14,0.9474,0.5641,ACHIEVED
Linear SVM (Title+Abstract),Cascaded (Pre-Filter),0.11,0.6986,0.5217,1.0,0.551,0.6857,0.8733,0.7261,24,22,27,0,46,63.01,36.99,1.92,0.95,0.11,1.0,0.5128,ACHIEVED
Linear SVM (Title+Abstract),Cascaded (Pre-Filter),0.11,0.6986,0.5217,1.0,0.551,0.6857,0.8733,0.7261,24,22,27,0,46,63.01,36.99,1.92,0.99,0.11,1.0,0.5128,ACHIEVED
Linear SVM (Title+Abstract),Cascaded (Pre-Filter),0.11,0.6986,0.5217,1.0,0.551,0.6857,0.8733,0.7261,24,22,27,0,46,63.01,36.99,1.92,1.0,0.11,1.0,0.5128,ACHIEVED
Complement NB (Title+Abstract),Standalone,0.49,0.3288,0.3288,1.0,0.0,0.4948,0.8291,0.6988,24,49,0,0,73,100.0,0.0,3.04,0.9,0.49,1.0,0.0,ACHIEVED
Complement NB (Title+Abstract),Standalone,0.49,0.3288,0.3288,1.0,0.0,0.4948,0.8291,0.6988,24,49,0,0,73,100.0,0.0,3.04,0.95,0.49,1.0,0.0,ACHIEVED
Complement NB (Title+Abstract),Standalone,0.49,0.3288,0.3288,1.0,0.0,0.4948,0.8291,0.6988,24,49,0,0,73,100.0,0.0,3.04,0.99,0.49,1.0,0.0,ACHIEVED
Complement NB (Title+Abstract),Standalone,0.49,0.3288,0.3288,1.0,0.0,0.4948,0.8291,0.6988,24,49,0,0,73,100.0,0.0,3.04,1.0,0.49,1.0,0.0,ACHIEVED
Complement NB (Title+Abstract),Cascaded (Pre-Filter),0.49,0.5068,0.4,1.0,0.2653,0.5714,0.8444,0.7093,24,36,13,0,60,82.19,17.81,2.5,0.9,0.49,1.0,0.1795,ACHIEVED
Complement NB (Title+Abstract),Cascaded (Pre-Filter),0.49,0.5068,0.4,1.0,0.2653,0.5714,0.8444,0.7093,24,36,13,0,60,82.19,17.81,2.5,0.95,0.49,1.0,0.1795,ACHIEVED
Complement NB (Title+Abstract),Cascaded (Pre-Filter),0.49,0.5068,0.4,1.0,0.2653,0.5714,0.8444,0.7093,24,36,13,0,60,82.19,17.81,2.5,0.99,0.49,1.0,0.1795,ACHIEVED
Complement NB (Title+Abstract),Cascaded (Pre-Filter),0.49,0.5068,0.4,1.0,0.2653,0.5714,0.8444,0.7093,24,36,13,0,60,82.19,17.81,2.5,1.0,0.49,1.0,0.1795,ACHIEVED
PubMedBERT (Title+Abstract),Standalone,0.98,0.9863,1.0,0.9583,1.0,0.9787,1.0,1.0,23,0,49,1,23,31.51,68.49,1.0,0.9,0.98,1.0,1.0,ACHIEVED
PubMedBERT (Title+Abstract),Standalone,0.98,0.9863,1.0,0.9583,1.0,0.9787,1.0,1.0,23,0,49,1,23,31.51,68.49,1.0,0.95,0.98,1.0,1.0,ACHIEVED
PubMedBERT (Title+Abstract),Standalone,0.98,0.9863,1.0,0.9583,1.0,0.9787,1.0,1.0,23,0,49,1,23,31.51,68.49,1.0,0.99,0.98,1.0,1.0,ACHIEVED
PubMedBERT (Title+Abstract),Standalone,0.98,0.9863,1.0,0.9583,1.0,0.9787,1.0,1.0,23,0,49,1,23,31.51,68.49,1.0,1.0,0.98,1.0,1.0,ACHIEVED
PubMedBERT (Title+Abstract),Cascaded (Pre-Filter),0.98,0.9863,1.0,0.9583,1.0,0.9787,1.0,1.0,23,0,49,1,23,31.51,68.49,1.0,0.9,0.98,1.0,1.0,ACHIEVED
PubMedBERT (Title+Abstract),Cascaded (Pre-Filter),0.98,0.9863,1.0,0.9583,1.0,0.9787,1.0,1.0,23,0,49,1,23,31.51,68.49,1.0,0.95,0.98,1.0,1.0,ACHIEVED
PubMedBERT (Title+Abstract),Cascaded (Pre-Filter),0.98,0.9863,1.0,0.9583,1.0,0.9787,1.0,1.0,23,0,49,1,23,31.51,68.49,1.0,0.99,0.98,1.0,1.0,ACHIEVED
PubMedBERT (Title+Abstract),Cascaded (Pre-Filter),0.98,0.9863,1.0,0.9583,1.0,0.9787,1.0,1.0,23,0,49,1,23,31.51,68.49,1.0,1.0,0.98,1.0,1.0,ACHIEVED
