model,threshold,accuracy,precision,recall,sensitivity,specificity,f1_score,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives,articles_flagged_for_review,review_workload_pct,workload_reduction_pct,total_positives,total_negatives,total_samples,model_key
Logistic Regression,0.02,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.04,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.06,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.08,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.1,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.12,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.14,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.16,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.18,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.2,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.22,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.24,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.26,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.28,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.3,0.3287671232876712,0.3287671232876712,1.0,1.0,0.0,0.4948453608247423,1.0,0.0,24,49,0,0,73,100.0,0.0,24,49,73,logistic_regression
Logistic Regression,0.32,0.3424657534246575,0.3333333333333333,1.0,1.0,0.02040816326530612,0.5,0.9795918367346939,0.0,24,48,1,0,72,98.63013698630137,1.36986301369863,24,49,73,logistic_regression
Logistic Regression,0.34,0.589041095890411,0.4423076923076923,0.9583333333333334,0.9583333333333334,0.40816326530612246,0.6052631578947368,0.5918367346938775,0.041666666666666664,23,29,20,1,52,71.23287671232876,28.767123287671232,24,49,73,logistic_regression
Logistic Regression,0.36,0.7808219178082192,0.6428571428571429,0.75,0.75,0.7959183673469388,0.6923076923076923,0.20408163265306123,0.25,18,10,39,6,28,38.35616438356164,61.64383561643836,24,49,73,logistic_regression
Logistic Regression,0.38,0.7123287671232876,0.6666666666666666,0.25,0.25,0.9387755102040817,0.36363636363636365,0.061224489795918366,0.75,6,3,46,18,9,12.32876712328767,87.67123287671232,24,49,73,logistic_regression
Logistic Regression,0.4,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.42,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.44,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.46,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.48,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.5,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.52,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.54,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.56,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.58,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.6,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.62,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.64,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.66,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.68,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.7,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.72,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.74,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.76,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.78,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.8,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.82,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
Logistic Regression,0.84,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,logistic_regression
